no,name,date,architect,location,grade,nhle_list_entry,ngr,easting,northing,latitude,longitude,materials,description,how_to_date_it
34,The British Museum,1823 to 1852,Sir Robert Smirke; Great Court roof 2000 by Foster and Partners,"Great Russell Street, Bloomsbury, London WC1B 3DG",I,1130404,TQ 30054 81721,530054,181721,51.51944,-0.12694,Portland stone over a brick and cast iron frame; Great Court roof of steel and glass,"The largest Greek Revival building in Britain, built round a hollow quadrangle over nearly 30 years. The south front presents 44 giant Ionic columns copied from the Temple of Athena Polias at Priene, with a pediment carved by Sir Richard Westmacott. Smirke was an early and systematic user of concrete foundations and cast iron framing, so the archaeological Greek dress conceals thoroughly modern construction. The Round Reading Room, begun in 1854 by Sydney Smirke and opened in 1857, sits in the courtyard, and Foster's glazed lattice roof of 2000 finally covered the space around it.","Correct Greek Ionic columns copied from a named ancient source, a shallow pediment and no arches anywhere means Greek Revival, roughly 1810 to 1840. Roman detail with round arches would push the date earlier or later."
35,Cumberland Terrace,"1826, first occupied 1828","John Nash, detailed by James Thomson, built by William Mountford Nurse","Regent's Park, London NW1 4HX",I,1067386,TQ 28688 83102,528688,183102,51.53217,-0.14611,"Brick faced in painted stucco, with Coade type sculpture and slate roofs","The grandest of the terraces round Regent's Park, designed to be the view from the never built royal palace opposite, and the summit of Nash's picturesque urbanism. It reads as one enormous palace, though it is 31 separate houses with a pedimented Ionic centrepiece, linked by triumphal arches to flanking blocks, behind a single scenic front of speculative building. The pediment sculpture is by George Bubb. The stucco is scored and painted to imitate stone, an economy that defines Regency London and that gave the style its slightly stagey character.","Painted stucco scored to look like ashlar, a giant Ionic order, and long horizontal terraces with pediments and triumphal arches indicate Regency, 1815 to 1835. Glazing bars are much thinner than Georgian, and ground floors are often rusticated stucco."
36,The Palace of Westminster,1840 to 1870,Sir Charles Barry with Augustus Welby Northmore Pugin,"Westminster, London SW1A 0AA",I,1226284,TQ 30267 79504,530267,179504,51.49947,-0.12469,"Anston magnesian limestone, later repaired in Clipsham stone; cast iron roof plates","Built after the fire of 1834 to a competition brief that required Gothic or Elizabethan, and the definitive statement of Victorian Gothic Revival as a national style. The genius is in the division of labour: Barry supplied a rigidly symmetrical, almost classical plan and massing, and Pugin covered every surface of it with archaeologically accurate Perpendicular detail, down to the wallpapers, tiles, metalwork and inkstands. Westminster Hall of 1097, remodelled in 1393 to 1399 with Hugh Herland's hammerbeam roof, survives from the medieval palace and is embedded in the complex.","Perpendicular panelling and tracery applied uniformly to a symmetrical plan, in crisp machine finished stone, is Victorian Gothic Revival rather than medieval. The Anston stone has decayed in a distinctive blistering way that itself dates the fabric."
37,"Red House, Bexleyheath",1859 to 1860,Philip Webb for William Morris,"Red House Lane, Bexleyheath, London DA6 8JF",I,1064203,TQ 48106 75093,548106,175093,51.45545,0.13028,Red brick laid in English bond with red clay tile roofs and oak joinery,"A modest suburban house that changed domestic architecture across Europe. Webb refused both classical symmetry and Gothic archaeology, and instead planned the house from the inside out in an L shape around a garden, letting the windows fall where the rooms needed them. Materials are left as they are: bare red brick inside and out, exposed roof timbers, no stucco, no painted graining. The pointed arches and steep tiled roofs are vernacular rather than ecclesiastical. Everything in it was designed for it, which led directly to the founding of Morris and Company in 1861.","Asymmetrical plan, unrendered red brick, steep red tiled roofs, sash and casement windows mixed on the same elevation and no applied classical or Gothic ornament indicate the Arts and Crafts beginning, 1855 to 1875."
38,Crossness Pumping Station,1859 to 1865,"Charles Henry Driver, engineer Sir Joseph Bazalgette","Belvedere Road, Abbey Wood, London SE2 9AQ",I,1064241,TQ 48497 81080,548497,181080,51.50914,0.13842,Yellow London stock brick with red brick banding; ornamental cast iron internally,"The southern outfall works of Bazalgette's main drainage scheme, built after the Great Stink of 1858, and proof that Victorian engineers dressed their infrastructure as seriously as their churches. The exterior is a Romanesque brick shed with round arched windows and polychrome banding. Inside, the Beam Engine House holds what is often called the finest cast ironwork in the world: a screen of foliate columns, arcades, brackets and spandrels, painted in reds, greens and golds, surrounding four rotative beam engines named after members of the royal family.","Polychrome brickwork with round arches and heavily ornamented structural cast iron is High Victorian, 1855 to 1875. Rotative beam engines with cast iron entablatures were obsolete technology by 1880, which narrows the date further."
39,St Pancras Station and the former Midland Grand Hotel,"Train shed 1863 to 1868, hotel 1868 to 1876",Hotel by Sir George Gilbert Scott; train shed engineered by William Henry Barlow with Rowland Mason Ordish,"Euston Road, London NW1 2QP",I,1342037,TQ 30107 82977,530107,182977,51.53072,-0.12572,"Nottingham Gripper red brick, Ancaster stone, Peterhead and Shap granite; wrought iron shed ribs","Two buildings by two different professions, deliberately joined. Barlow's train shed spans 73 metres in a single wrought iron arch, the widest in the world when built, and it is raised on a forest of iron columns spaced to suit the beer barrels stored beneath. Scott then wrapped a Gothic Revival hotel around the front of it, using Venetian, French and English medieval sources at enormous scale in polychrome brick and stone. The combination of undisguised engineering behind and historicist architecture in front is the central Victorian argument in one building.","A single span wrought iron arch of this size places the shed at 1860 to 1875. The hotel's polychrome brick, pointed arches, steep dormered roofs and clustered turrets are High Victorian Gothic of the same window."
40,Manchester Town Hall,1868 to 1877,Alfred Waterhouse,"Albert Square, Manchester M2 5DB",I,1207469,SJ 83867 98089,383867,398089,53.47927,-2.24456,"Spinkwell sandstone from Bradford, with granite and internal glazed tile and brick","Won in competition against 137 entries and built to fill a very awkward triangular site, which Waterhouse turned into an asset by making every corner and every angled corridor work. The style is thirteenth century Gothic, but the planning is ruthlessly modern, with a spiral service circulation and daylight reaching almost every room. The 85 metre clock tower dominates Albert Square. The Great Hall holds Ford Madox Brown's twelve Manchester Murals, painted between 1879 and 1893, which tell the city's history from the Romans to John Dalton.","Early English and Decorated Gothic detail on a large secular civic building, in gritty local sandstone with a tall asymmetrically placed tower, is municipal Gothic Revival of 1860 to 1880. Machine cut, sharply arrised stonework confirms it is not medieval."
41,Cragside,"1869 to 1885, incorporating a lodge of 1862 to 1864","Richard Norman Shaw for William Armstrong, 1st Baron Armstrong, enlarging an earlier lodge","Rothbury, Morpeth, Northumberland NE65 7PX",I,1042076,NU 07375 02173,407375,602173,55.31359,-1.88535,"Local sandstone with half timbering, tile hanging and tall brick and stone chimneystacks","An industrialist's house grown out of a small shooting lodge into a rambling composition that steps down a rocky hillside, and the best surviving example of Shaw's Old English manner. Half timbered gables, tile hung walls, enormous chimneys and irregular massing are all handled picturesquely rather than symmetrically. It was the first house in the world lit by hydroelectric power, from 1878, and it also had hydraulic lifts, a passenger lift, fire alarms and a Turkish bath. The drawing room of 1883 to 1884 has an inglenook chimneypiece in Italian marble weighing 10 tonnes.","Half timbering, tile hanging, tall clustered chimneys and deliberate asymmetry on a large Victorian house is Old English or Domestic Revival, 1865 to 1890. Early electric light fittings and service technology are datable in their own right."
42,Natural History Museum,1873 to 1881,"Alfred Waterhouse, developing a competition design by Francis Fowke","Cromwell Road, South Kensington, London SW7 5BD",I,1080675,TQ 26682 78986,526682,178986,51.49563,-0.1765,"Buff and blue terracotta by Gibbs and Canning of Tamworth, over an iron and steel frame","A cathedral to nature, with a Romanesque round arched vocabulary chosen partly because terracotta moulds could be reused economically across a very long facade. Every surface carries modelled plants and animals, and Richard Owen insisted the living species go in the west wing and the extinct ones in the east. Terracotta was specified because it could be washed clean of London soot, an explicitly modern choice. Behind it the structure is iron framed, so this is a nineteenth century engineered building wearing a twelfth century German skin, and the two are quite openly separate.","Buff and blue terracotta with repeated moulded ornament and round arches, on a very long symmetrical facade with twin towers, is 1870 to 1890. Repetition of identical carved detail means moulding, not carving, which itself dates the technique."
43,Tower Bridge,1886 to 1894,"Sir Horace Jones, City Architect, completed by George Daniel Stevenson; engineer Sir John Wolfe Barry","Tower Bridge Road, London SE1 2UP",I,1357515,TQ 33697 80338,533697,180338,51.50617,-0.07499,Steel frame clad in Cornish granite and Portland stone; original hydraulic machinery,"A bascule bridge whose real structure is a steel frame, clad in stone in a Gothic manner so that it would sit politely beside the Tower of London. The two 65 metre towers house the lifting mechanism, originally driven by steam pumped hydraulic accumulators, converted to electro hydraulic drive in 1974. The high level walkways were meant for pedestrians crossing while the bascules were raised, but they were closed in 1910 after becoming a haunt for pickpockets. Contemporary critics loathed the historicist cladding, calling it a sham, which it frankly is.","Steel framing with applied stone Gothic detail, and hydraulic rather than electric machinery, places this at 1885 to 1900. It was painted red, white and blue for the Silver Jubilee in 1977; the present blue and white dates from the refurbishment begun in 2008. The original was a chocolate brown."
44,Michelin House,1909 to 1911,Francois Espinasse,"81 Fulham Road, Chelsea, London SW3 6RD",II,1080656,TQ 27224 78735,527224,178735,51.49325,-0.16878,"Early reinforced concrete frame with faience and Carrara ware cladding, and decorative ceramic tile panels","Built as Michelin's first British headquarters and tyre depot, and one of the earliest reinforced concrete framed buildings in London. The style resists classification, borrowing from Art Nouveau, the Secession and Edwardian free style all at once, which is exactly what a French tyre company wanted in order to look modern. Thirty four ceramic tile panels by Gilardoni Fils show early motor races, and the corner cupolas are built as stacks of tyres. The three stained glass windows show Bibendum, the Michelin Man, and were reinstated in the 1980s restoration by Conran and Hamlyn.","A reinforced concrete frame with glazed faience cladding and commercial iconography built into the ornament places this at 1900 to 1914. The glossy white ceramic finish was chosen for washability in a sooty city, an Edwardian preoccupation."
45,Battersea Power Station,"Station A 1929 to 1935, Station B 1944 to 1955","J. Theo Halliday of Halliday and Agate, with Sir Giles Gilbert Scott as consultant for the exterior","188 Kirtling Street, Nine Elms, London SW8 5BP",II*,1357620,TQ 28884 77513,528884,177513,51.4819,-0.14533,"Around six million bricks over a steel frame, with concrete chimneys clad in brick and stone","A power station given monumental architectural treatment because it was going to be visible from central London and the public objected to it. Scott was brought in to handle the exterior and produced fluted brick walls handled like a giant order, with the four chimneys acting as the columns of an enormous open air temple. The Art Deco Control Room A survives with its Italian marble and polished parquet. The building was constructed in two halves 20 years apart, so the west half is 1930s and the east half is post war, and the detailing differs.","Vertically fluted brickwork used as a giant order, stepped setbacks and Art Deco interior fittings indicate 1928 to 1940. The eastern half is plainer and cheaper, a reliable sign of post war austerity construction."
46,De La Warr Pavilion,1934 to 1935,Erich Mendelsohn and Serge Chermayeff,"Marina, Bexhill-on-Sea, East Sussex TN40 1DP",I,1352840,TQ 74114 07134,574114,107134,50.83754,0.47142,"Welded steel frame with concrete floors, render and very large areas of glass","Won in open competition, and the first major public building in Britain with a welded steel frame, which is what allowed the long horizontal window bands and the cantilevered balconies to exist at all. Mendelsohn had just fled Germany and brought Continental Modernism with him. The semicircular glazed stair tower on the seaward side is the signature element, a helix of steel and glass. It was commissioned by the 9th Earl De La Warr as mayor, as a piece of public leisure architecture for an ordinary seaside town, which was radical in itself.","White render, horizontal window bands, flat roofs, cantilevered balconies with tubular steel rails and a glazed drum stair are International Style, 1930 to 1939. Welded rather than riveted steel is an unusually precise technical marker for the mid 1930s."
47,Royal Festival Hall,1948 to 1951,"London County Council Architect's Department under Robert Matthew and Leslie Martin, with Peter Moro and Edwin Williams","Belvedere Road, South Bank, London SE1 8XX",I,1249756,TQ 30797 80223,530797,180223,51.50581,-0.11679,Reinforced concrete frame with Portland stone and glass cladding; interiors in Derbyshire fossil limestone and hardwoods,"The only permanent building of the 1951 Festival of Britain, and the first post war building in England to be listed Grade I. Its structural idea is the egg in the box: the auditorium is suspended as a self contained acoustic vessel within the outer structure, with foyers, stairs and bars flowing freely around and underneath it, so that the public spaces are as important as the hall. The acoustics were designed by Hope Bagenal on scientific principles. The river frontage was remodelled in 1962 to 1965, so the exterior you see is largely of that date.","A reinforced concrete frame with Portland stone facing, generous glazing and flowing open foyer space is Festival of Britain modernism, 1948 to 1955. The heavier concrete river elevation is a 1960s remodelling and looks it."
48,"Park Hill, Sheffield",1957 to 1961,"Jack Lynn and Ivor Smith under J. Lewis Womersley, Sheffield City Architect","Duke Street, Sheffield S2 5QP",II*,1246881,SK 36064 87093,436064,387093,53.37946,-1.45933,In situ reinforced concrete frame with brick infill panels graded from red through orange to yellow,"The largest listed building in Europe and the most complete British attempt at Le Corbusier's ideas about mass housing. The deck access galleries, three metres wide and continuous, were the streets in the sky, wide enough for a milk float, and they follow the falling ground so that every deck meets the hillside at grade somewhere. The roofline is kept level while the ground drops away, so the blocks rise from four to thirteen storeys. Regeneration from 2007 by Hawkins Brown and Studio Egret West replaced the brick infill with coloured anodised aluminium.","Board marked or shuttered concrete frame with brick infill, continuous access decks and a level roofline over falling ground is British Brutalist housing, 1955 to 1970. Bright anodised panels indicate the twenty first century refurbishment."
49,National Theatre,1967 to 1976,Sir Denys Lasdun,"Upper Ground, South Bank, London SE1 9PX",II*,1272324,TQ 31013 80383,531013,180383,51.5072,-0.11362,"In situ reinforced concrete, board marked using sawn Douglas fir shuttering laid horizontally","Lasdun described the building as an urban landscape of strata and terraces rather than a building with a facade, and it is composed as a series of horizontal layers stepping out over the river walk. The two fly towers rise as solid blocks above the terraces. The concrete was poured in situ against rough sawn boards so that the grain of the timber is printed into the finished surface, a deliberate rejection of smooth finish. Three auditoria of different shapes sit inside: the Olivier, the Lyttelton and the small Dorfman, originally the Cottesloe.","Board marked in situ concrete with horizontal board grain, projecting terraces and no applied cladding of any kind is British Brutalism at its most confident, 1965 to 1978. The horizontality distinguishes Lasdun from the towers of the same decade."
50,Lloyd's Building,1978 to 1986,"Richard Rogers Partnership, with structural engineering by Ove Arup and Partners","1 Lime Street, City of London EC3M 7HA",I,1405493,TQ 33159 81082,533159,181082,51.51298,-0.08246,"Precast and in situ concrete frame with stainless steel cladding, triple glazing and external steel service towers","The definitive British High Tech building, and an inside out design in which lifts, staircases, lavatory pods and service ducts are all pushed to the outside so that the interior can be a single uninterrupted space. The Underwriting Room rises through a barrel vaulted atrium 60 metres tall, with the Lutine Bell at its centre. The eighteenth century Adam style Committee Room from Bowood House is installed on the eleventh floor, a deliberate collision. It was listed Grade I in 2011, aged only 25, the youngest building ever to be listed at that grade.","Externalised services in stainless steel, exposed structural frame, glazed wall climber lifts and a full height atrium mark High Tech, 1975 to 1990. Stainless steel rather than painted steel and triple glazing point to the 1980s specifically."
